shim      C:\Users\Vatto\Magic Rules Engine\studies\skill_headtohead\pinned\simlab-forge-shim.jar (sha256 c50a9cc2c51d4634)
forge     C:\Users\Vatto\forge\forge-gui-desktop-2.0.13-jar-with-dependencies.jar
cohort    8 decks x 4 rotations x 3 chunks = 96 cells of 8 games
          768 games total, clock 1260s
already done 0, to run 96
estimate  77.4 h serial / 4.8 h at 16 workers, at a measured-floor 363 s/game
plans     Planeswalker Party -> ['Planeswalker Party [CMM] [2023]']
plans     Tricky Terrain -> ['Tricky Terrain [M3C] [2024]']
plans     Explorers of the Deep -> ['Explorers of the Deep [LCC] [2023]']
plans     Doom Prevails -> ['Doom Prevails [MSC] [2026]']
plans     Blight Curse -> ['Blight Curse [ECC] [2026]']
plans     Mutant Menace -> ['Mutant Menace [PIP] [2024]']
plans     Grand Larceny -> ['Grand Larceny [OTC] [2024]']
plans     Deadly Disguise -> ['Deadly Disguise [MKC] [2024]']
[55/96] Mutant Menace rot1 c1 (B/C/D/A)  8g in 27.5m, censored 0, wins {'A': 1, 'B': 1, 'C': 1, 'D': 5}  [1.53 games/min]
[56/96] Mutant Menace rot0 c2 (A/B/C/D)  8g in 29.3m, censored 0, wins {'A': 1, 'B': 1, 'C': 0, 'D': 6}  [1.56 games/min]
[57/96] Mutant Menace rot0 c1 (A/B/C/D)  8g in 36.2m, censored 0, wins {'A': 1, 'B': 2, 'C': 4, 'D': 1}  [1.55 games/min]
[58/96] Blight Curse rot3 c2 (D/A/B/C)  8g in 47.2m, censored 1, wins {'A': 2, 'B': 2, 'C': 2, 'D': 1}  [1.57 games/min]
[59/96] Mutant Menace rot1 c0 (B/C/D/A)  8g in 43.9m, censored 0, wins {'A': 1, 'B': 2, 'C': 2, 'D': 3}  [1.56 games/min]
[60/96] Blight Curse rot2 c1 (C/D/A/B)  8g in 68.0m, censored 2, wins {'A': 3, 'B': 1, 'C': 1, 'D': 1}  [1.57 games/min]
[61/96] Mutant Menace rot2 c0 (C/D/A/B)  8g in 33.4m, censored 0, wins {'A': 4, 'B': 0, 'C': 1, 'D': 3}  [1.59 games/min]
[62/96] Blight Curse rot1 c1 (B/C/D/A)  8g in 74.8m, censored 2, wins {'A': 1, 'B': 3, 'C': 0, 'D': 2}  [1.61 games/min]
[63/96] Mutant Menace rot0 c0 (A/B/C/D)  8g in 57.0m, censored 0, wins {'A': 2, 'B': 0, 'C': 2, 'D': 4}  [1.62 games/min]
[64/96] Blight Curse rot1 c2 (B/C/D/A)  8g in 77.4m, censored 1, wins {'A': 1, 'B': 2, 'C': 4, 'D': 0}  [1.64 games/min]
